chrom,start,end,strand,phyloP,phastCons,lowercase
5,157322732,157322860,+,"[ 1.350e-01 -2.028e+00 -2.650e-01  2.869e+00 -2.410e-01  1.000e-01
  1.462e+00  1.840e-01  2.130e+00 -1.121e+00  5.750e-01  3.810e-01
 -1.674e+00 -1.449e+00 -4.870e-01 -1.263e+00 -3.002e+00  1.145e+00
  6.420e-01  7.050e-01  2.056e+00  6.600e-02  5.480e-01  1.186e+00
 -1.140e-01 -2.690e+00 -2.410e-01  7.200e-01  4.470e-01 -1.013e+00
 -2.562e+00  4.000e-03  1.400e-01 -4.700e-02 -3.430e-01 -6.520e-01
 -3.680e-01  1.270e+00  2.014e+00  7.360e-01  5.840e-01  2.251e+00
  1.550e-01  2.620e-01  3.814e+00  3.814e+00  2.295e+00  2.167e+00
  2.295e+00  2.286e+00  1.007e+00  6.430e-01  1.772e+00  2.497e+00
  7.300e-01  1.623e+00  6.800e-02  1.000e-03 -6.120e-01  5.000e-02
  6.330e-01  2.100e-01  8.500e-02  4.560e-01 -2.700e-01  4.320e-01
  3.929e+00  6.010e-01  1.641e+00  1.631e+00  7.060e-01  3.250e-01
  5.720e-01  3.204e+00 -8.840e-01  7.800e-02  6.060e-01  3.220e-01
  9.430e-01  1.194e+00  1.060e+00 -1.190e-01  2.574e+00 -4.100e-02
  7.490e-01 -1.490e-01 -3.110e-01  1.880e-01  1.087e+00  3.204e+00
  1.042e+00  6.730e-01  2.680e-01  1.862e+00  3.204e+00  3.204e+00
  2.379e+00  6.640e-01  5.700e-02  7.630e-01  3.308e+00  1.549e+00
  3.308e+00  6.320e-01  1.855e+00  2.318e+00  3.866e+00  7.370e-01
  2.318e+00  6.540e-01  1.927e+00  3.238e+00  1.755e+00  3.238e+00
 -6.800e-02  4.046e+00  1.913e+00  1.891e+00  1.892e+00  1.954e+00
  1.688e+00  1.669e+00  2.529e+00  1.174e+00  3.240e+00  1.085e+00
  3.272e+00  1.888e+00]","[0.    0.    0.    0.009 0.003 0.006 0.037 0.034 0.043 0.    0.001 0.002
 0.    0.    0.    0.    0.    0.291 0.328 0.364 0.375 0.234 0.212 0.193
 0.009 0.    0.    0.006 0.003 0.    0.    0.    0.    0.    0.    0.
 0.017 0.913 0.997 0.999 1.    1.    0.996 0.996 1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    0.97  0.934 0.092 0.005 0.    0.
 0.001 0.001 0.001 0.006 0.01  0.5   0.994 0.995 0.995 0.97  0.979 0.969
 0.968 0.967 0.001 0.005 0.072 0.111 0.214 0.265 0.261 0.208 0.23  0.049
 0.037 0.004 0.004 0.095 0.938 0.998 1.    1.    1.    1.    1.    1.
 1.    0.997 0.995 0.999 1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    0.996 1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
  True  True  True  True  True  True  True  True]"
2,147512178,147512306,+,"[ 0.298 -0.329  1.21   0.078  0.366  0.63   0.958  0.212  0.441 -0.076
 -0.424  2.277  0.27  -0.056 -0.795 -2.416  0.315 -1.667  0.217  0.115
 -0.385 -0.422 -0.601 -0.162  0.126  0.785  0.439  1.946  0.815  4.134
  1.145 -0.154  1.298  0.092 -0.273 -0.083 -1.476 -0.011 -0.205  0.413
  0.219 -0.135  0.127  0.506  0.338  0.03   0.928  0.203  0.134 -0.134
  0.436 -0.228 -0.228 -0.149  0.73  -0.351  0.347  0.056  2.086  1.473
  0.362  1.331  0.46   1.137  2.015  1.073  4.532  3.741  3.727  0.662
  1.045  1.084  0.349  2.585  0.675  2.713 -0.009  0.839  3.353  2.794
  1.329  2.462  2.208  0.953  0.172  0.183  2.992  0.431  1.395  1.095
  2.763  0.922  2.065  1.58   0.375  1.149  1.224  0.043  1.371  2.296
  1.86   1.139  2.959  5.047  1.541  2.966  0.219  0.207  0.078  0.695
  1.19   0.756  2.85   3.752  1.668  1.182  1.207  1.768  2.162  0.303
  0.343  1.955  2.304  2.689  0.445 -0.641  0.206  2.8  ]","[0.    0.    0.001 0.    0.001 0.001 0.002 0.001 0.    0.    0.    0.419
 0.379 0.001 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.002 0.031 0.078 0.949 0.969 0.996 0.982 0.    0.002 0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.028 0.02
 0.002 0.    0.    0.    0.    0.    0.    0.    0.014 0.027 0.982 0.996
 0.995 0.998 0.998 0.998 1.    1.    1.    1.    1.    0.227 0.664 0.836
 0.903 0.98  0.979 0.981 0.914 0.994 1.    1.    1.    0.999 0.976 0.38
 0.184 0.23  0.965 0.961 0.997 0.999 1.    1.    1.    0.999 0.972 0.97
 0.942 0.892 0.973 1.    1.    1.    1.    1.    1.    0.997 0.177 0.09
 0.089 0.568 0.908 0.965 1.    1.    1.    1.    1.    1.    1.    0.992
 0.992 1.    1.    0.986 0.149 0.006 0.058 0.849]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
5,160240620,160240748,+,"[ 0.716 -0.047  3.977  2.788  0.166  1.216  0.558  0.324  0.759 -0.018
 -0.034  0.871  0.37   0.473  0.817 -0.122  3.483  1.994  1.323  1.317
  0.165  0.156  3.483  0.81   0.732  4.066  4.356  4.18   0.828  0.493
  1.004  2.733  1.907  2.193  2.719  1.895  3.58   0.854  1.317  0.206
  3.58  -0.175  0.445  2.187  4.18   1.878  3.58   2.994  2.699  0.959
  0.83   0.783  0.205  2.099  2.977  1.898  2.187  1.222  1.786  0.865
  2.661  4.18   2.957  0.493  0.467  0.874  0.824  1.393  1.242  2.733
  1.022  2.198  2.659  4.155  2.08   1.806  2.06   4.102  2.74   0.477
  3.58   2.734  0.168  1.389 -0.178  0.195 -0.12   2.714  4.18   1.441
  2.189  0.812  0.151  1.5    0.473  1.408  2.119  4.18   2.714  1.844
  1.168  0.016  0.121  0.078  0.182  0.701  2.506 -0.271  0.968 -0.189
 -0.721  0.226 -0.83  -0.799  0.017  0.463 -0.524 -0.042 -0.194  0.09
 -0.832  0.097  1.139  0.221  0.793  0.234 -0.559  2.996]","[0.997 0.994 1.    0.999 0.843 0.822 0.747 0.656 0.604 0.483 0.48  0.555
 0.571 0.615 0.656 0.666 0.998 1.    1.    0.997 0.985 0.985 1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.999 0.996 0.997 0.938 0.952 1.    1.    1.    1.    1.
 1.    1.    1.    1.    0.999 1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    0.999 1.    0.999 1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.988 0.425 0.379
 0.066 0.065 0.117 0.981 1.    1.    1.    0.998 0.997 1.    1.    1.
 1.    1.    1.    1.    0.991 0.02  0.013 0.001 0.001 0.017 0.025 0.004
 0.008 0.    0.    0.    0.    0.    0.001 0.001 0.    0.    0.    0.007
 0.006 0.016 0.028 0.033 0.038 0.033 0.028 0.075]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True]"
3,157590118,157590246,+,"[ 2.066e+00  1.200e-02  9.650e-01  2.952e+00  3.696e+00  9.530e-01
  2.917e+00  4.830e-01  3.770e-01  4.300e-01  1.655e+00  1.652e+00
  4.320e-01 -8.120e-01  4.810e-01  5.370e-01  2.952e+00  2.780e-01
  3.452e+00  3.696e+00  1.219e+00 -2.000e-03  1.642e+00  2.917e+00
 -1.001e+00  1.860e-01  4.990e-01  4.040e-01  4.760e-01  5.220e-01
  9.410e-01  9.330e-01  2.030e-01 -2.600e-02  1.957e+00 -1.700e-02
  7.990e-01  3.452e+00  9.580e-01  9.620e-01  1.654e+00  1.662e+00
  1.297e+00  1.492e+00  3.970e-01 -1.400e-01  1.528e+00  1.161e+00
  3.696e+00  8.030e-01  5.000e-03 -2.140e-01  5.830e-01  1.480e-01
  1.542e+00  4.660e-01  1.654e+00  1.623e+00  8.200e-01  5.160e-01
  5.320e-01  9.630e-01  1.593e+00  1.631e+00 -1.580e-01  1.017e+00
  1.500e+00  1.652e+00  9.500e-01  1.647e+00  1.790e-01  4.010e-01
  3.452e+00  2.090e+00  8.170e-01  9.780e-01  3.578e+00  1.310e+00
  1.509e+00 -4.390e-01 -2.010e-01  2.340e-01  3.696e+00  9.470e-01
  2.917e+00  2.952e+00  3.920e-01  4.270e-01  9.540e-01  5.150e-01
  1.640e+00  1.613e+00  3.452e+00  2.291e+00  3.452e+00  8.220e-01
  2.952e+00  3.452e+00  2.040e+00  5.320e-01  1.002e+00  2.952e+00
  1.655e+00  5.250e-01  3.750e-01  4.820e-01  9.490e-01  4.140e-01
  2.952e+00  5.480e-01 -2.020e-01  4.490e-01  2.300e+00  9.810e-01
  4.520e-01  9.440e-01  9.330e-01  2.256e+00  2.000e-02  1.611e+00
  2.917e+00  2.073e+00  1.580e-01  9.500e-01  2.089e+00  1.279e+00
  9.770e-01  1.650e+00]","[1.    0.998 1.    1.    1.    1.    1.    0.991 0.985 0.984 0.986 0.971
 0.685 0.567 0.758 0.896 0.995 0.996 1.    1.    0.996 0.981 0.982 0.953
 0.023 0.032 0.071 0.116 0.202 0.308 0.379 0.403 0.406 0.426 0.642 0.654
 0.864 0.997 1.    1.    1.    1.    1.    0.998 0.974 0.964 0.991 0.995
 0.994 0.759 0.396 0.37  0.52  0.619 0.916 0.951 0.997 1.    1.    1.
 1.    1.    1.    0.999 0.987 0.999 1.    1.    1.    1.    0.998 0.998
 1.    1.    1.    1.    1.    0.99  0.944 0.138 0.133 0.414 0.997 1.
 1.    1.    0.999 1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    0.997 0.991 0.991 0.992 0.991
 0.993 0.83  0.777 0.844 0.996 0.999 0.999 1.    1.    1.    0.998 1.
 1.    1.    0.998 1.    1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
10,67050605,67050733,+,"[ 1.999  0.339 -0.72  -1.119  2.727  1.893  0.714  1.231  0.391  0.16
  1.92   1.205  0.136  0.505  0.336  2.503 -1.171 -0.396  0.744  0.16
 -0.835  1.084  0.806  1.86   1.175  1.257  1.903  1.668 -2.087  0.503
  0.366  4.203  0.701  1.249  3.356  1.989 -0.058  1.219  1.878  1.509
  1.856  0.978  1.198  1.203 -1.206 -2.52   0.069  0.795  0.322  0.331
  3.271  0.679  4.146 -0.081  1.088 -0.505 -0.636  1.883  3.923  3.923
  1.916  0.393  0.7    3.923  3.923  3.923  0.676  0.38   3.923 -0.033
  1.257  0.75   1.267  1.202  1.883  0.135  2.503  0.716 -0.053  1.101
  1.892  1.229  0.247  2.495  0.716  2.4    0.047  1.278  2.444  2.505
  1.857  0.734  1.238  2.502  0.128  1.251  1.787  3.923  1.949  3.356
  1.264  0.132  1.234  3.356  1.166  0.358  1.962  0.609  0.476 -0.2
  0.117  0.071  0.721  1.592  2.506  1.701  0.387  1.102  0.582 -0.218
  1.51   1.574  1.196  1.892  2.495  2.385  1.125  1.837]","[0.207 0.058 0.    0.    0.992 1.    0.999 0.998 0.991 0.988 0.991 0.975
 0.833 0.798 0.765 0.745 0.    0.    0.006 0.001 0.001 0.659 0.906 0.996
 0.999 0.999 0.997 0.904 0.03  0.324 0.607 0.998 0.999 1.    1.    1.
 0.992 0.999 1.    1.    1.    0.997 0.991 0.96  0.    0.    0.049 0.345
 0.44  0.585 0.962 0.969 0.97  0.102 0.075 0.002 0.002 0.974 1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    0.994 1.    1.
 1.    1.    1.    0.998 0.998 0.99  0.982 0.995 1.    1.    0.998 1.
 0.999 0.998 0.976 1.    1.    1.    1.    1.    1.    1.    0.999 1.
 1.    1.    1.    1.    1.    0.998 1.    1.    0.993 0.963 0.94  0.567
 0.305 0.084 0.093 0.185 0.674 0.871 0.995 0.995 0.983 0.977 0.949 0.932
 0.99  0.999 1.    1.    1.    1.    1.    0.996]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
1,215867019,215867147,+,"[ 0.104 -0.077  0.694  0.784  5.043  3.141 -0.506  0.998  0.328 -1.755
  3.977  1.018  0.816  5.526  2.33  -3.98   4.438  2.484  0.577  2.499
  5.566  1.624  1.62   4.139 -0.712  3.988  1.01  -0.18   1.374  0.907
 -1.535 -2.263  0.166 -2.951 -0.769  0.67  -2.851  0.328  0.411  1.267
  5.099 -0.108 -1.376 -0.271  0.369  0.725  3.729  0.401 -0.622  1.733
  3.076  0.188  1.001  4.23   1.046  1.077  0.064 -1.557  7.272  5.555
 -0.032  0.463  0.03  -1.377  4.154  3.159 -0.78   5.539  4.154 -0.026
  2.48   0.646 -0.247  5.562  5.831 -3.073  2.824  4.229  1.888  1.438
  3.122 -0.553 -0.152  1.031 -1.036  0.043  3.164  0.881  0.687  4.151
 -0.33  -0.075  1.261  0.484  5.75   1.423 -1.176  3.658  0.563 -0.917
  3.547  1.382  0.195  2.686  6.783 -0.232  3.174  4.152  1.284  4.044
  0.652 -1.065  1.654  1.782  1.613  4.223  5.828  2.3    4.228  3.55
 -0.216  6.783  4.154 -0.419  3.988  1.179  0.326  5.064]","[0.185 0.153 0.314 0.575 0.991 0.984 0.001 0.002 0.    0.    0.996 0.999
 0.999 1.    0.972 0.    1.    1.    1.    1.    1.    1.    1.    1.
 0.051 0.377 0.235 0.003 0.006 0.003 0.    0.    0.    0.    0.    0.
 0.    0.02  0.187 0.762 0.825 0.003 0.    0.    0.022 0.108 0.297 0.08
 0.04  0.833 0.983 0.978 0.992 0.999 0.923 0.794 0.008 0.    1.    1.
 0.004 0.    0.    0.    0.943 0.939 0.122 1.    0.999 0.508 0.516 0.347
 0.312 1.    1.    0.    0.998 1.    1.    0.998 0.991 0.    0.    0.001
 0.    0.009 0.966 0.972 0.973 0.974 0.028 0.031 0.572 0.646 0.947 0.887
 0.034 0.433 0.105 0.017 0.996 0.995 0.976 1.    1.    0.483 1.    1.
 1.    0.998 0.238 0.006 0.767 0.997 1.    1.    1.    1.    1.    1.
 0.884 1.    1.    0.579 0.994 0.994 0.986 1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
16,787664,787792,+,"[ 5.059  3.979  4.055  7.929  0.859  6.156  4.063  6.692  2.09   2.556
  0.29   5.184  3.14   1.178  5.005  4.895 -0.45   6.161  0.256  1.579
  1.626  5.179  2.762  6.052  3.762 -3.036 -0.809 -0.085  3.067  4.059
  3.416 -0.185  0.645  5.58   2.265  2.673  2.999  0.943  5.04   1.838
 -0.692  4.234  1.583  0.22   0.668  1.239  1.505  5.948  3.1    1.32
  0.955  3.151  0.129  3.296  3.16  -0.59   4.156 -0.394  0.603  1.65
  2.159  1.298  3.306  3.853 -3.594  6.493  3.045  1.706  3.343  4.747
  3.023  4.932  2.613  5.11   0.689 -0.322 -1.478  1.806 -0.746  0.204
  0.61   3.015  1.329  0.633 -1.388  0.535 -0.277 -0.175 -0.31   1.109
 -1.004 -0.899 -0.763 -0.508  0.6   -0.149 -0.728  0.256  0.416 -1.875
  0.222 -0.147  0.157 -6.891  0.415 -1.865  0.363 -0.767 -3.213 -0.311
 -6.166 -0.393 -0.926  0.271 -0.667 -0.414 -1.338 -0.694 -0.263 -0.584
 -0.643 -0.296  0.12  -0.041 -0.528 -0.107  0.749 -0.424]","[1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.969 1.
 1.    1.    1.    0.994 0.194 0.998 0.991 1.    1.    1.    1.    1.
 0.998 0.    0.    0.001 1.    1.    1.    0.095 0.352 1.    1.    1.
 1.    1.    1.    0.975 0.051 0.865 0.838 0.556 0.562 0.587 0.992 1.
 1.    1.    1.    1.    0.949 0.999 0.993 0.012 0.197 0.049 0.283 0.888
 0.999 1.    1.    0.998 0.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    0.686 0.    0.    0.142 0.102 0.423 0.945 0.977 0.944 0.425
 0.    0.003 0.002 0.001 0.001 0.001 0.    0.    0.    0.    0.001 0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.001 0.    0.    0.    0.003 0.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
3,61877936,61878064,+,"[ 3.99   3.288  2.373  1.149  1.121  2.22   2.001  2.137  2.906  2.4
  3.959  5.664  2.429  4.829  4.087  6.079  2.368  2.367  1.222  4.768
  3.32   1.772  2.688  1.649  4.054  1.637  1.73   5.664  2.409  1.343
  3.454  3.131  1.134  0.537  2.595  2.406  2.323  1.748  4.016  4.103
  4.829  1.766  3.316  4.444  2.283  2.349  3.714  1.377  3.335  1.133
  1.246  4.444  1.138  2.381  3.003  1.809  0.518  3.405  1.856  3.276
  2.392  2.398  3.317  4.819  5.314  2.335  3.318  0.85   0.22   3.084
  2.014  1.682  2.01   0.834  2.307  2.002  0.783  1.373  1.783  4.829
  4.829  4.768  4.768  1.752  4.445  2.934  2.623  4.103  1.773  0.821
  3.313  1.179  0.714  2.961  0.954  1.745  3.436  4.829  2.409  5.63
  2.35   3.011  0.914  0.552  0.07   2.015  2.638  0.497  0.598  0.817
  2.268  1.737  0.292 -0.652  0.021 -0.122  0.738  1.285  0.27   2.643
  1.685  0.676  1.648  0.841 -0.183  1.677  0.819  3.31 ]","[1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.999
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    0.998 1.    1.    1.
 1.    0.999 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    1.    0.998 0.993 0.99  1.    1.    0.99
 0.986 0.99  0.996 0.969 0.189 0.    0.    0.009 0.397 0.594 0.667 0.994
 0.994 0.988 0.982 0.929 0.781 0.898 0.987 1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
17,12041319,12041447,+,"[-0.01  -0.068 -0.018  0.244  0.269 -0.017 -0.28   1.883 -0.317 -0.424
  0.26  -0.043  0.256 -0.287 -0.094 -0.354  0.088  0.208  0.22   0.657
 -0.1    0.162 -1.097  0.531  1.687  0.024 -0.076  0.639  1.727  2.137
  0.165  0.513  0.641  1.845  0.401  0.497  1.845  0.101  0.412  1.845
  0.418  0.099  0.211  2.14   0.186  2.14   0.514 -0.425  1.737  2.146
  0.046  0.245  0.56   0.124  1.625  0.209 -0.107  0.249  1.727  1.727
  1.727  2.004  0.802  0.814 -0.075  1.736 -0.6    0.357 -0.013 -0.513
  0.698  0.346 -0.123 -0.178 -0.396 -0.053  0.113  0.567  0.246  0.499
  0.5    0.178 -0.413 -0.072 -0.076  1.375  0.45  -0.262  0.554  0.011
  0.417  1.487 -1.198  0.308  0.31  -0.139  0.749  0.266  0.786  0.005
 -0.83  -0.3    1.779  0.908 -0.084 -0.9    0.163  0.017 -0.11   1.938
  0.942  0.214 -1.16   0.645  0.308  0.857  1.727  0.395 -1.114  0.798
  0.944 -0.404  0.039 -1.976  0.163 -1.155  2.001  0.858]","[0.015 0.003 0.001 0.001 0.001 0.    0.    0.003 0.    0.    0.001 0.001
 0.002 0.    0.    0.    0.    0.001 0.001 0.002 0.001 0.002 0.004 0.263
 0.392 0.405 0.482 0.836 0.979 0.995 0.996 0.998 1.    1.    1.    1.
 1.    0.997 0.997 0.998 0.995 0.992 0.994 0.998 0.997 0.998 0.995 0.99
 0.998 0.998 0.992 0.991 0.992 0.991 0.992 0.987 0.983 0.988 0.998 1.
 0.999 0.993 0.945 0.836 0.585 0.53  0.053 0.032 0.008 0.002 0.004 0.003
 0.    0.    0.    0.001 0.004 0.01  0.011 0.014 0.014 0.011 0.001 0.001
 0.002 0.005 0.004 0.002 0.004 0.005 0.007 0.007 0.    0.002 0.002 0.002
 0.003 0.003 0.003 0.002 0.    0.    0.006 0.005 0.001 0.    0.001 0.001
 0.005 0.024 0.024 0.014 0.005 0.028 0.036 0.048 0.051 0.033 0.008 0.098
 0.082 0.004 0.001 0.    0.002 0.005 0.832 0.933]","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True]"
12,62016224,62016352,+,"[ 0.75   0.394  1.216  0.169 -0.033  1.903 -1.558  0.727  0.674  1.415
  0.35  -0.06  -1.221  1.021  0.992  0.334  1.22   1.705 -0.659  0.712
  0.098 -0.131 -0.545 -0.078  0.395  0.838  0.769  1.659  2.5    0.354
  3.922  2.503  1.676  0.411  1.909  1.689 -1.033 -0.14  -0.353  1.077
  2.     0.124  0.145  1.995  1.192  0.884  0.29   0.142  0.337  0.777
  1.727  0.7   -0.226  1.133  0.05   1.223  0.093  2.501  0.985  0.697
  1.649  1.514  0.163  1.162  1.17   0.326  1.063  1.084  2.673  2.554
  1.626  0.09   0.971 -0.071 -0.052  1.837  0.697  3.314  1.119  2.735
  0.397  1.931  1.964  1.108  0.689  1.99   3.355  1.978  1.961  0.147
  1.451  0.351  1.21   1.246  0.966  0.12   1.589  0.388  1.239 -0.214
  0.136  0.128  2.01   1.266  1.267  0.16   1.071  1.304  0.158  1.686
  2.491  1.047 -0.088 -0.515  1.26  -0.281  1.221  0.726 -0.241  1.702
  1.837  0.479  1.676  0.1    0.679 -0.401 -0.998  0.443]","[0.01  0.012 0.013 0.002 0.001 0.01  0.    0.004 0.006 0.007 0.003 0.
 0.    0.034 0.048 0.047 0.056 0.053 0.    0.001 0.    0.    0.    0.006
 0.351 0.792 0.946 0.998 1.    1.    1.    1.    1.    0.997 0.996 0.756
 0.001 0.    0.003 0.309 0.417 0.402 0.427 0.785 0.792 0.764 0.713 0.689
 0.695 0.71  0.709 0.627 0.519 0.542 0.545 0.645 0.663 0.987 0.996 0.998
 1.    1.    0.998 1.    1.    0.995 0.998 1.    1.    1.    0.96  0.487
 0.434 0.311 0.319 0.973 0.985 1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    1.    1.    0.986 0.986 0.984 0.987 0.981 0.935 0.833
 0.831 0.774 0.731 0.313 0.317 0.389 0.979 0.996 0.997 0.994 0.997 0.997
 0.992 0.993 0.985 0.71  0.034 0.002 0.013 0.011 0.098 0.105 0.108 0.715
 0.776 0.757 0.738 0.452 0.422 0.    0.    0.002]","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False]"
4,24156260,24156388,+,"[ 1.98   2.576  1.659  2.06   1.749  0.698  1.304  0.394  0.744  4.006
  4.006  3.425  3.425  2.565  1.74   0.784  1.145  0.328  2.577 -0.135
  1.988 -0.454  2.425  1.865  1.091  0.314  0.692 -0.286 -0.073  2.639
  1.722  0.713  0.325  3.281  1.208  1.801 -0.231  1.992  1.981  1.245
  0.113 -0.045  1.237  2.015  1.204  0.806  1.727  1.721  4.006  0.377
  0.157  1.305  0.437  2.017  0.175  0.161  1.23  -0.485  0.4    2.061
  0.703  1.265 -0.515 -1.514 -0.399  1.267  1.658  0.428  1.485  0.273
  0.299 -0.024  1.5    2.189  0.845  0.517  0.533 -1.391  1.36  -1.919
  0.425 -0.232  0.013 -0.005 -0.221  0.531  0.01  -0.218 -0.675 -2.919
  0.49  -0.449 -0.907  0.02  -0.525 -2.815 -3.049 -2.471 -2.15  -0.71
 -0.026 -1.777 -0.186 -0.864 -1.593 -0.71  -0.212 -1.047  0.261 -0.646
  0.24  -2.616 -0.126 -0.767 -1.207 -3.041 -0.006  1.124  1.159  1.296
  2.214  1.458  0.802  0.231  1.931  1.02   0.832  2.248]","[1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
 1.    1.    1.    0.995 0.952 0.948 0.947 0.809 0.812 0.732 0.885 0.886
 0.477 0.27  0.108 0.003 0.035 0.982 1.    1.    0.999 1.    1.    0.998
 0.955 0.994 0.994 0.979 0.898 0.89  0.99  1.    1.    0.998 1.    1.
 1.    0.993 0.988 0.989 0.977 0.967 0.569 0.517 0.508 0.045 0.663 0.733
 0.628 0.571 0.013 0.    0.003 0.197 0.231 0.214 0.211 0.156 0.136 0.142
 0.359 0.388 0.356 0.257 0.163 0.    0.001 0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.002 0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.001 0.    0.    0.    0.    0.    0.166 0.92  0.972 0.998
 1.    1.    0.997 0.995 1.    1.    1.    1.   ]","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False  True  True  True
  True  True  True  True  True  True  True  True False False False False
 False False False False False False False False]"
